date | value
0-01-01 | 1
0000-01-01 | 5
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-03 | 1..2
2011-01-03 | 1.2a
2011-01-09 | 1
2012-01-11 | -1
2012-01-11 | 1-
2012-01-11 | --1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2012-01-11 | 21474836482147489088883563412412423512556
2013-01-04 | 1
2013-01-05 | 1
2013-01-31 | 1
2016-02-28 | 1
2016-02-28 | 1
1900-02-28 | 1
1900-02-29 | 1
2000-02-29 | 1
2013-01-32 | 1
2013-01-31 | 1 1
999-01-01 | 1
9999-12-31 | 2
10000-12-31 | 3
